1	8	2
1	4	3
1	2	4
6	1	5
4	8	5
10	5	5
6	3	6
8	10	7
5	8	8
4	3	8
10	3	8
2	9	9
8	5	9
9	7	10
1	2	10
1	1	10
3	10	10
5	5	10
10	4	10
9	10	10
9	8	10
2	8	10
3	7	10
3	1	10
6	3	10
10	4	10
10	8	10
1	2	10
2	8	10
8	5	10
6	7	10
5	10	10
4	8	10
10	9	10
10	3	10
6	3	10
3	4	10
7	8	10
10	6	10
6	6	10
8	3	10
2	7	10
3	9	10
7	5	10
8	3	10
4	5	10
10	3	10
1	3	10
3	2	10
8	9	10
10	5	10
2	7	10
8	1	10
6	4	10
6	6	10
1	3	10
6	3	10
1	6	10
9	3	10
10	2	10
4	6	10
6	5	10
3	4	10
6	1	10
9	8	10
2	6	10
5	9	10
10	8	10
8	10	10
9	2	10
3	4	10
9	1	10
5	4	10
8	6	10
4	8	10
3	1	10
5	5	10
7	4	10
4	6	10
6	10	10
8	10	10
6	7	10
2	1	10
5	7	10
6	7	10
5	10	10
1	10	10
3	1	10
10	9	10
5	2	10
3	10	10
10	10	10
4	6	10
10	8	10
10	6	10
6	2	10
8	10	10
7	2	10
9	6	10
8	8	10
