0	1	2
100	12	3
100	12	3
100	12	2
100	12	12
100	12	12
100	12	2
100	12	3
100	12	3
100	12	6
100	12	2
100	12	2
100	12	2
200	18	24
200	18	2
200	18	3
200	18	2
200	18	2
200	18	2
200	18	5
200	18	2
200	18	2
200	18	5
200	18	2
200	18	4
200	18	5
200	18	2
200	18	2
200	18	2
200	18	2
200	18	2
300	16	3
300	16	4
300	16	9
300	16	2
300	16	2
300	16	2
300	16	3
300	16	6
300	16	4
300	16	3
300	16	2
300	16	2
300	16	17
300	16	2
300	16	2
300	16	2
400	18	2
400	18	4
400	18	9
400	18	7
400	18	2
400	18	3
400	18	5
400	18	2
400	18	2
400	18	2
400	18	2
400	18	3
400	18	2
400	18	13
400	18	5
400	18	4
400	18	2
400	18	2
500	13	4
500	13	3
500	13	2
500	13	2
500	13	2
500	13	2
500	13	4
500	13	2
500	13	4
500	13	20
500	13	2
500	13	2
500	13	2
600	15	6
600	15	6
600	15	5
600	15	3
600	15	5
600	15	3
600	15	3
600	15	4
600	15	3
600	15	9
600	15	2
600	15	2
600	15	2
600	15	2
600	15	2
700	17	2
700	17	7
700	17	3
700	17	4
700	17	2
700	17	4
700	17	2
700	17	6
700	17	4
700	17	3
700	17	2
700	17	5
700	17	2
700	17	2
700	17	6
700	17	2
700	17	3
800	12	9
800	12	3
800	12	2
800	12	2
800	12	4
800	12	5
800	12	2
800	12	2
800	12	2
800	12	2
800	12	2
800	12	2
900	14	2
900	14	2
900	14	14
900	14	5
900	14	4
900	14	2
900	14	5
900	14	2
900	14	3
900	14	11
900	14	2
900	14	3
900	14	2
900	14	2
